chr1	17033	+	CG	0.112	43
chr1	17291	+	CG	0.0490617	33
chr1	17440	+	CG	0.208281	46
chr1	17583	+	CG	0.0535797	37
chr1	17649	+	CG	0.0791795	36
chr1	17811	+	CG	0.510968	37
chr1	18028	+	CG	0.133332	38
chr1	18040	+	CG	0.151281	47
chr1	18082	+	CG	0.155542	37
chr1	18311	+	CG	0.12385	40
chr1	18402	+	CG	0.149005	35
chr1	39604	+	CG	0.016178	43
chr1	39608	+	CG	0.186172	43
chr1	39821	+	CG	0.0498779	42
chr1	39934	+	CG	0.188758	41
chr1	40039	+	CG	0.0362227	44
chr1	40111	+	CG	0.194478	41
chr1	40299	+	CG	0.04372	37
chr1	40303	+	CG	0.0217005	33
chr1	40307	+	CG	0.0317357	49
chr1	40309	+	CG	0.359472	42
chr1	40352	+	CG	0.057224	42
chr1	40377	+	CG	0.0444022	38
chr1	40408	+	CG	0.375199	49
chr1	40450	+	CG	0.0863685	48
chr1	40498	+	CG	0.0619772	47
chr1	40506	+	CG	0.47472	46
chr1	40536	+	CG	0.0480031	57
chr1	40560	+	CG	0.139273	41
chr1	40647	+	CG	0.389114	36
chr1	41149	+	CG	0.27624	45
chr1	41156	+	CG	0.144484	46
chr1	41263	+	CG	0.318028	32
chr1	41330	+	CG	0.219075	31
chr1	41425	+	CG	0.00412426	43
chr1	41432	+	CG	0.025133	39
chr1	171933	+	CG	0.0437204	45
chr1	171995	+	CG	0.237166	29
chr1	172128	+	CG	0.230635	53
chr1	172501	+	CG	0.117433	43
chr1	172521	+	CG	0.0543664	44
chr1	172535	+	CG	0.572592	32
chr1	172674	+	CG	0.184854	51
chr1	172723	+	CG	0.336227	42
chr1	173363	+	CG	0.474807	44
chr1	181216	+	CG	0.116738	34
chr1	181233	+	CG	0.00944364	41
chr1	181239	+	CG	0.0497022	49
chr1	181301	+	CG	0.155467	49
chr1	181339	+	CG	0.00155959	37
chr1	181410	+	CG	0.28171	31
chr1	181440	+	CG	0.237189	47
chr1	181761	+	CG	0.359197	40
chr1	181766	+	CG	0.204319	39
chr1	181825	+	CG	0.0334302	31
chr1	181830	+	CG	0.0150713	43
chr1	181953	+	CG	0.410302	44
chr1	181964	+	CG	0.0450997	34
chr1	182139	+	CG	0.0790024	39
chr1	182172	+	CG	0.30358	38
chr1	182185	+	CG	0.0947774	37
chr1	182190	+	CG	0.697309	46
chr1	182199	+	CG	0.0526305	42
chr1	182456	+	CG	0.361479	44
chr1	182474	+	CG	0.00875635	43
chr1	182657	+	CG	0.0552895	43
chr1	182738	+	CG	0.600208	48
chr1	182789	+	CG	0.214713	38
chr1	183198	+	CG	0.0763429	35
chr1	288812	+	CG	0.185767	41
chr1	289318	+	CG	0.00165581	40
chr1	289513	+	CG	0.444246	43
chr1	289758	+	CG	0.00801421	37
chr1	289772	+	CG	0.0438314	42
chr1	289844	+	CG	0.0694298	47
chr1	289855	+	CG	0.0241637	42
chr1	289891	+	CG	0.382299	48
chr1	289922	+	CG	0.165511	47
chr1	289929	+	CG	0.0594675	43
chr1	289945	+	CG	0.18616	32
chr1	289954	+	CG	0.115086	36
chr1	289982	+	CG	0.0327005	49
chr1	290005	+	CG	0.134585	46
chr1	290199	+	CG	0.0523187	42
chr1	290202	+	CG	0.044643	38
chr1	290227	+	CG	0.117636	41
chr1	290277	+	CG	0.291036	34
chr1	290288	+	CG	0.137593	43
chr1	290821	+	CG	0.0213227	34
chr1	291051	+	CG	0.364656	45
chr1	291106	+	CG	0.0892483	42
chr1	291193	+	CG	0.000425142	36
chr1	291215	+	CG	0.416894	43
chr1	291309	+	CG	0.0763793	35
chr1	291502	+	CG	0.36722	48
chr1	291554	+	CG	0.0547142	41
chr1	291633	+	CG	0.111558	35
chr1	393553	+	CG	0.514906	38
chr1	393576	+	CG	0.0108389	46
chr1	393638	+	CG	0.0255253	42
chr1	393704	+	CG	0.624109	42
chr1	393773	+	CG	0.0613091	44
chr1	393855	+	CG	0.396008	35
chr1	393948	+	CG	0.280869	47
chr1	393950	+	CG	0.340919	36
chr1	393953	+	CG	0.0343725	45
chr1	393986	+	CG	0.539594	27
chr1	393989	+	CG	0.0605151	40
chr1	393997	+	CG	0.0168525	45
chr1	394034	+	CG	0.039098	42
chr1	394051	+	CG	0.0746248	31
chr1	394071	+	CG	0.0784815	59
chr1	394078	+	CG	0.0750602	35
chr1	394091	+	CG	0.138575	46
chr1	394124	+	CG	0.046285	31
chr1	394145	+	CG	0.336101	43
chr1	394147	+	CG	0.0578183	38
chr1	394169	+	CG	0.0226712	46
chr1	394177	+	CG	0.0183558	46
chr1	394230	+	CG	0.138893	44
chr1	394240	+	CG	0.169697	40
chr1	394262	+	CG	0.068359	48
chr1	394273	+	CG	0.0419651	35
chr1	394298	+	CG	0.3339	39
chr1	394311	+	CG	0.0885789	46
chr1	394326	+	CG	0.0398175	42
chr1	394332	+	CG	0.0322851	50
chr1	394370	+	CG	0.106772	36
chr1	394376	+	CG	0.188805	37
chr1	394407	+	CG	0.204385	41
chr1	394415	+	CG	0.157158	40
chr1	394423	+	CG	0.0987926	35
chr1	394474	+	CG	0.970397	37
chr1	394484	+	CG	0.01032	33
chr1	394493	+	CG	0.0634359	43
chr1	394508	+	CG	0.128986	32
chr1	394618	+	CG	0.349283	34
chr1	394652	+	CG	0.0703266	44
chr1	394864	+	CG	0.0442307	41
chr1	395242	+	CG	0.037036	31
chr1	395255	+	CG	0.171847	41
chr1	395342	+	CG	0.0186773	45
chr1	395439	+	CG	0.0802432	47
chr1	395506	+	CG	0.128268	29
chr1	395516	+	CG	0.481785	36
chr1	395518	+	CG	0.279023	32
chr1	395524	+	CG	0.186271	38
chr1	395531	+	CG	0.0195099	39
chr1	410919	+	CG	0.0313318	42
chr1	411069	+	CG	0.322365	37
chr1	411093	+	CG	0.509221	36
chr1	411138	+	CG	0.0262798	31
chr1	411144	+	CG	0.277468	38
chr1	411179	+	CG	0.192174	31
